TweetID, Weekday, Hour, Day, Lang, IsReshare, Reach, RetweetCount, Likes, Klout, Sentiment, text, UserID,Country,Gender
tw-682712873332805633,Thursday,17,31,en,FALSE,44,0,0,35,0,We are hiring: Senior Software Engineer - Proto http://www.reqcloud.com/jobs/719865/?k=0LaPxXuFwczs1e32ZURJKrgCIDMQtRO7BquFSQthUKY&utm_source=twitter&utm_campaign=reqCloud_JobPost #job @awscloud #job #protocol #networking #aws #mediastreaming,tw-40932430,United States,Female
tw-682713045357998080,Thursday,17,31,en,TRUE,1810,5,0,53,2,RT @CodeMineStatus: This is true Amazon Web Services https://aws.amazon.com/ #php #html #html5 #css #webdesign #seo #java #javascript htt,tw-3179389829,United States,Male
tw-682713219375476736,Thursday,17,31,en,FALSE,282,0,0,47,0,Devops Engineer Aws Ansible Cassandra Mysql Ubuntu Ruby On Rails Jobs in Austin TX #Austin #TX #jobs #jobsearch https://www.jobfindly.com/devops-engineer-aws-ansible-cassandra-mysql-ubuntu-ruby-on-rails-jobs-austin-tx.html,tw-4624808414,United States,Male
tw-682713436967579648,Thursday,17,31,en,FALSE,2087,4,0,53,0,Happy New Year to all those AWS instances of ours!,tw-356447127,United States,Unisex
tw-682714048199311366,Thursday,17,31,en,FALSE,953,0,0,47,0,Amazon is hiring! #Sr. #International Tax Manager - AWS in #Seattle apply now! #jobs http://neuvoo.com/job.php?id=dsvkrujig3&source=twitter&lang=en&client_id=658&l=Seattle%20Washington%20US&k=Sr.%20International%20Tax%20Manager%20-%20AWS http://twitter.com/NeuvooAccSea/status/682714048199311366/photo/1,tw-3172686669,United States,Unknown
tw-682714583044243456,Thursday,17,31,en,FALSE,113,0,0,31,-1,#AWS bc of per-region limits test/prod should be in isolated regions. else dev could impact prod #lambda &amp; beyond http://docs.aws.amazon.com/lambda/latest/dg/limits.html#limits-safety-throttles,tw-14502901,United States,Unisex
tw-682715526435454977,Thursday,17,31,en,FALSE,113,0,0,31,-2,Isolating dev/prod #aws envs like that is difficult bc of non-ubiquitous service availability. Isn't really a good way around this problem.,tw-14502901,United States,Unisex
tw-682717209043402753,Thursday,17,31,en,FALSE,113,0,0,31,-1,Isolation at account level would work. #aws alludes to this on pg 17 but this makes identity management difficult http://media.amazonwebservices.com/AWS_Security_Best_Practices.pdf,tw-14502901,United States,Unisex
tw-682717967965110273,Thursday,17,31,en,FALSE,4893,1,0,49,0,Red line vs. green line: Reporting on the most vital Reserved Instance metrics: http://blog.cloudability.com/red-line-vs-green-line-reporting-on-reserved-instance-coverage-and-waste/ #AWS http://twitter.com/cloudability/status/682717967965110273/photo/1,tw-202281478,United States,Unknown
tw-682718048080519168,Thursday,17,31,en,TRUE,2868,6,0,51,2,RT @HPE_BigData: We developed a test drive on AWS. Why is it worth trying? @waltermaguire explains: http://community.hpe.com/t5/Big-Data/Don-t-build-the-car-for-a-test-drive-Evaluate-faster-with-the/ba-p/6819020 #BigData https:,tw-1544327005,Belgium,Male
tw-682719022958292992,Thursday,17,31,en,TRUE,86,51,0,16,2,RT @awscloud: AWS CloudFormation now supports AWS WAF &amp; AWS Directory Service for MS Active Directory. https://aws.amazon.com/about-aws/whats-new/2015/12/aws-cloudformation-adds-support-for-aws-waf-and-aws-directory-service-for-microsoft-active-directory/?sc_channel=sm&sc_campaign=launches&sc_publisher=tw_go&sc_content=waf_ds&sc_country=global&sc_geo=global&sc_category=cloudformation&adbsc=social_launches_20151228_56779066&adbid=681570169089429504&adbpl=tw&adbpr=66780587 https://t.co,tw-14458322,United States,Unisex
tw-682719177115844609,Thursday,17,31,en,FALSE,82,0,0,23,0,AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT https://aws.amazon.com/blogs/aws/aws-podcasts-banter-predicsis-peak-urban-massage-contentful-babbel-and-intel-iot/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:%20AmazonWebServicesBlog%20(Amazon%20Web%20Services%20Blog),tw-52355420,Australia,Female
tw-682719733335093248,Thursday,17,31,en,FALSE,368,0,0,43,1,Mighty Big Data Set: Month in Review - Lots for big data enthusiasts in December on the AWS Big Data Blog. Take... https://blogs.aws.amazon.com/bigdata/post/TxV5JXBROJC8HK/Month-in-Review,tw-17522346,United States,Male
tw-682719857851273216,Thursday,17,31,en,FALSE,113,0,0,31,-1,Limited info out there on #aws dev/prod isolation topic so I guess those are the only options: region OR account. each with diff pros/cons,tw-14502901,United States,Unisex
tw-682722925670092801,Thursday,17,31,en,FALSE,8,0,0,21,3,Great read on AWS VPC for startups. #AWSCloud #COMMUNICATE_WELL https://medium.com/aws-activate-startup-blog/what-startups-should-know-about-amazon-vpc-part-1-bebe94b7f228#.aed1cdydi,tw-452420131,United States,Unisex
tw-682723090279841798,Thursday,17,31,en,FALSE,2214,0,0,0,0,Is there a cheaper cloud provider that offers everything AWS does? VPCs ELBs SGs RDS elasticache etc?,tw-174050963,United States,Male
tw-682724038150623232,Thursday,17,31,en,FALSE,387,0,0,56,0,Mighty Batman Set: Month in Review - Lots for Batman enthusiasts in December on the AWS Batman Blog. Take... https://blogs.aws.amazon.com/bigdata/post/TxV5JXBROJC8HK/Month-in-Review,tw-3430582660,United Kingdom,Male
tw-682725525266296832,Thursday,17,31,en,TRUE,149,3,0,31,0,RT @jeffbarr: Some new #AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT - https://aws.amazon.com/blogs/aws/aws-podcasts-banter-predicsis-peak-urban-massage-contentful-babbel-and-intel-iot/,tw-219010169,France,Male
tw-682725562964676608,Thursday,17,31,en,TRUE,356,2,0,47,2,RT @Capgemini: How can your business benefit from catalog-based IT services by #Cloud providers like #AWS? https://www.capgemini.com/beyond-the-buzz/2016-tech-predictions?utm_source=twitter&utm_medium=text&utm_term=predictions&utm_content=campaign&utm_campaign=businesstechpredictions2016 https://,tw-21134394,United Kingdom,Female
tw-682726320460161025,Thursday,17,31,en,TRUE,201,3,0,40,0,RT @jpaulreed: Happy New Year to all those AWS instances of ours!,tw-14375325,United States,Male
tw-682726753551413249,Thursday,17,31,en,FALSE,6741,2,0,49,1.333333373,Learn how to extend #cloud security to #AWS to ensure your organization's data is secure http://info.palerra.com/learn-about-loric-for-aws-10-2015-lp.html?link=homepage http://twitter.com/palerrainc/status/682726753551413249/photo/1,tw-2826972511,United States,Unknown
tw-682728338276913152,Thursday,18,31,en,FALSE,3774,0,0,45,0,"""Microsoft Azure vs Amazon AWS Public Cloud Services https://blog.znetlive.com/microsoft-azure-vs-amazon-aws/#AzurevsAWS #AmazonAWS #MicrosoftAzure""",tw-346660959,Chile,Male
tw-682728964389904384,Thursday,18,31,en,FALSE,932,2,0,0,4,How awesome it was to be in #engineering at @Battlefy -- psst they are #hiring! http://blog.battlefy.com/how-we-ship/ #docker #aws #nodejs,tw-141423083,United States,Unisex
tw-682729628818096128,Thursday,18,31,en,FALSE,1768,0,0,46,0,#AWS #/ Cloud Specialist (IT Infrastructure / Architecture) http://neuvoo.co.uk/job.php?id=p8zbummukb&source=twitter&lang=en&client_id=550&l=Stockport%20England%20GB&k=AWS%20/%20Cloud%20Specialist%20(IT%20Infrastructure%20/%20Architecture) http://twitter.com/NeuvooLogMan/status/682729628818096128/photo/1,tw-3121452250,United Kingdom,Male
tw-682730725548945409,Thursday,18,31,en,TRUE,7297,44,0,59,0,RT @monkchips: I think there is a world market for maybe five computers - @awscloud is one of them.,tw-14435477,United States,Male
tw-682732948978831360,Thursday,18,31,en,TRUE,631,35,0,42,0,RT @awscloud: The AWS Developer Blog now includes #Python &amp; #GoLang - https://aws.amazon.com/blogs/developer/?sc_channel=sm&sc_campaign=devblog_2015&sc_content=dev_blog&sc_country=global&sc_geo=global&sc_category=awsdeveloperblog&sc_publisher=tw_go&adbsc=social_blogs_20151230_56802176&adbid=682235269009903616&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/682235269009903616/photo/1,tw-30899191,Ireland,Male
tw-682733736698482688,Thursday,18,31,en,FALSE,2874,1,0,59,0,AWS Lambda opens so many possibilities @joelgrus. RT @current_moon:,tw-89249164,United States,Male
tw-682734158469181440,Thursday,18,31,en,TRUE,104,3,0,42,0,"""RT @BotmetricHQ: It was an #AWS-ome year!Botmetric's Step Up On AWS #Cloud  Year In Review: https://www.botmetric.com/blog/botmetrics-step-up-on-aws-cloud-year-in-review/#GoodBye2015 https://""",tw-60656441,India,Male
tw-682735302855782400,Thursday,18,31,_u,FALSE,331,0,0,36,0,Systems Administrator/DevOps Engineer AWS Linux Java - Surrey #job #hiring http://jobrep.com/job/1464024/systems-administrator-devops-engineer-aws-linux-java-surrey/gb/?utm_source=social&utm_medium=soc&utm_campaign=channels,tw-460344889,United States,Unknown
tw-682736848880414720,Thursday,18,31,en,FALSE,281,0,0,43,-2,@christruncer odd I'm building Kali 2.0 from a basic Debian Jessi box on AWS installing kali-linux-all package still getting prompts...,tw-547049101,United States,Male
tw-682737000869400576,Thursday,18,31,en,FALSE,1052,0,0,47,0,How To Improve #AWS IAM #Security- https://blog.conjur.net/how-to-improve-aws-iam-security?utm_content=25575822&utm_medium=social&utm_source=twitter,tw-1588382882,United States,Unknown
tw-682738417474514945,Thursday,18,31,en,FALSE,688,0,0,45,3,K. Will ligo then off to somewhere. Hahaha aws,tw-1457050248,Philippines,Unknown
tw-682739560619601920,Thursday,18,31,en,FALSE,437,0,0,38,0,Great Job Opportunity: Technical Project Manager (Java &amp; AWS) in Hyderabad India http://www.bullhornreach.com/job/2027084_technical-project-manager-java-aws-hyderabad-india?utm_campaign=v1&shortlink=4163998&utm_content=1&utm_source=twitter.com&referer=None&utm_medium=referral #job,tw-69216057,India,Male
tw-682739681105199104,Thursday,18,31,en,TRUE,1642,43,0,50,0,RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did,tw-778897,United Kingdom,Unknown
tw-682740044763807744,Thursday,18,31,en,FALSE,219,0,0,34,1,I figured it out and posted the (a) solution: https://medium.com/@davidrupp/running-titan-graph-database-with-dynamodb-backend-66223ebd2c21 /cc @awscloud,tw-5564082,United States,Male
tw-682740283214290944,Thursday,18,31,en,TRUE,47,44,0,38,0,RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did,tw-105264031,Philippines,Unknown
tw-682740292324356096,Thursday,18,31,en,FALSE,35,0,0,22,2,Welcome to the AWS Developer Blog for Go | AWS Developer Blog #golang  https://aws.amazon.com/fr/blogs/developer/welcome-to-the-aws-developer-blog-for-go/,tw-15797774,United States,Male
tw-682740839475445760,Thursday,18,31,en,TRUE,41,45,0,23,0,RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did,tw-252971902,Sweden,Male
tw-682741395459805184,Thursday,18,31,en,FALSE,1458,0,0,42,3,Aws. Happy three year Twitterversary @TheMickyDolenz1! #OnThisDay #DECOPIC http://twitter.com/Aviatrixt/status/682741395459805184/photo/1,tw-14852216,United States,Unknown